Is Captain(1=yes),Is Wktkeeper(1=Yes),Nationality(1=Overseas),Name,Team,IPL 4 Franchise,Player cost USD,matches,innings played,no,runs scored,highest score,Is star batsman,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,stumping made,Is bowler?,Number of balls bowled,runs given,Is star bowler,wkts taken,Bowling average,Bowling econ,sr,4w,5w,Retained,matches_bat_ipl,total_runs_scored_ipl,balls_faced_ipl,batting_avg_ipl,highest_score_ipl,strike_rate_ipl,centuries_ipl,half_centuries_ipl,fours_ipl,sixes_ipl,matches_bowl_ipl,balls_bowled_ipl,total_runs_given_ipl,wickets_taken_ipl,bowling_avg_ipl,economy_ipl,3wickets_ipl
0.0,1.0,0,Wriddhiman Saha,India,Chennai Super Kings,100000.0,56.0,43.0,17.0,747.0,85,0.0,1.0,28.73,550.0,135.81,0.0,3.0,61.0,32.0,0.4821428571428572,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,67.0,53.0,11.166666666666664,22.0,120.59074912016091,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Clint McKay,Australia,Mumbai Indians,110000.0,31.0,16.0,7.0,122.0,21,0.0,0.0,13.55,80.0,152.5,0.0,0.0,7.0,8.0,0.12903225806451613,4.0,0.0,1.0,687.0,945.0,0.0,43.0,21.97,8.25,15.9,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Faf du Plessis,South Africa,Chennai Super Kings,120000.0,43.0,38.0,4.0,692.0,78,0.0,1.0,20.35,589.0,117.48,0.0,3.0,67.0,17.0,0.32558139534883723,14.0,0.0,1.0,528.0,626.0,0.0,34.0,18.41,7.11,15.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,Mohammad Kaif,India,Royal Challengers Bangalore,130000.0,45.0,38.0,6.0,676.0,68,0.0,1.0,21.12,615.0,109.91,0.0,4.0,72.0,11.0,0.4888888888888889,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,28.0,31.0,9.333333333333334,14.0,94.11764705882351,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Charl Langeveldt,South Africa,Royal Challengers Bangalore,140000.0,83.0,18.0,11.0,64.0,13,0.0,0.0,9.14,73.0,87.67,0.0,0.0,4.0,2.0,0.2289156626506024,19.0,0.0,1.0,1758.0,2121.0,1.0,111.0,19.1,7.23,15.8,4.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,70.0,84.0,5.0,28.0,7.5326510721247555,0.0
0.0,0.0,1,Jesse Ryder,New Zealand,Pune Warriors,150000.0,52.0,51.0,2.0,1088.0,86,0.0,1.0,22.2,773.0,140.75,0.0,8.0,118.0,45.0,0.3076923076923077,16.0,0.0,0.0,454.0,610.0,0.0,13.0,46.92,8.06,34.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,Joginder Sharma,India,Chennai Super Kings,150000.0,41.0,22.0,6.0,224.0,35,0.0,0.0,14.0,170.0,131.76,0.0,0.0,16.0,11.0,0.3170731707317073,13.0,0.0,1.0,757.0,1016.0,0.0,36.0,28.22,8.05,21.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,86.0,2.0,28.66666666666667,10.193333333333333,0.0
0.0,0.0,1,Ryan ten Doeschate,Netherlands,Kolkata Knight Riders,150000.0,107.0,93.0,22.0,1843.0,102,0.0,1.0,25.95,1428.0,129.06,1.0,4.0,117.0,70.0,0.3364485981308411,36.0,0.0,1.0,1061.0,1410.0,0.0,60.0,23.5,7.97,17.6,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Wayne Parnell,South Africa,Pune Warriors,160000.0,42.0,16.0,8.0,101.0,16,0.0,0.0,12.62,103.0,98.05,0.0,0.0,5.0,1.0,0.11904761904761905,5.0,0.0,1.0,865.0,1017.0,0.0,41.0,24.8,7.05,21.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1,Davy Jacobs,South Africa,Mumbai Indians,190000.0,61.0,58.0,9.0,1313.0,74,0.0,1.0,26.79,1115.0,117.75,0.0,6.0,115.0,46.0,0.4918032786885246,30.0,6.0,0.0,6.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
